,cluster_ids,peak_chan,snr,firing_rate,isi_viol,unit_quality
0,0,3,4.885615203,34.6307834,0.373658657,good
1,1,4,2.911975907,0.403445515,3.608710425,good
2,2,9,2.019049346,30.47882142,0.407881563,good
3,3,9,3.595838803,6.481380369,1.857203414,good
4,4,9,2.619280143,3.443508865,2.591962197,good
5,5,16,2.483349644,4.610507197,0.728081296,noise
6,6,17,3.426851621,14.34614986,0.40346074,good
7,7,18,3.795348755,7.89235386,0.90395268,good
8,8,17,2.29059309,3.114772438,0.10828583,good
9,9,25,3.313383479,1.808945486,0.211829292,good
10,10,30,2.226995268,26.38479899,0.231949737,good
11,11,41,2.449530404,3.082239211,0.258396378,good
12,12,41,3.819688207,14.49754999,0.25952059,good
13,13,43,1.408305494,2.1245142,0.440717457,noise
14,14,43,1.729705532,3.820180271,0.273347287,noise
15,15,45,2.959747506,2.20828828,0.023899299,good
16,16,46,5.517957265,5.750026664,1.638899464,good
17,17,42,1.673030736,8.831824766,0.279673685,good
18,18,49,2.750204164,4.641213332,0.025642326,good
19,19,54,3.252510998,5.355804158,0.302411026,good
20,20,55,2.492520375,9.011932349,0.167442332,good
21,21,57,2.531598484,2.441812266,0.394422569,good
22,22,69,3.038503167,9.779282073,0.084742323,good
23,23,69,3.423132446,3.556485244,1.655356431,good
24,24,101,3.016364569,0.022833327,0,good
25,25,101,3.729053172,0.062016585,0,good
26,26,109,0.158780353,1.121284337,25.16229676,good
27,27,146,2.364534906,0.744817166,8.635768,good
28,28,150,3.107200711,0.790942786,13.9421357,good
29,29,149,4.470070861,0.155051983,61.35872164,good
30,30,149,2.44973859,1.259080348,3.732919738,good
31,31,149,2.120715271,3.602073998,1.017208679,good
32,32,149,1.071324494,3.576847032,2.366904978,noise
33,33,149,0.806568751,1.889147186,3.521443225,noise
34,34,149,0.949956634,2.238424975,3.848223857,noise
35,35,150,6.298851909,0.093997473,54.93526903,good
36,36,153,2.90950812,1.712499437,4.33589065,good
37,37,157,1.46962873,2.238323038,1.833140059,noise
38,38,161,1.068257531,2.026881577,2.063833583,noise
39,39,165,1.048970445,2.193062366,3.12775164,noise
40,40,165,0.990442599,1.772111413,2.768300712,noise
41,41,165,0.607371591,2.325240121,4.669138289,noise
42,42,225,0.40356169,2.451262179,1.981515659,noise
43,43,221,0.523065886,1.447702032,5.105565034,noise
44,44,193,2.320785494,8.143796622,0.34922068,good
45,45,196,3.988333846,15.54978949,0.644602463,good
46,46,201,0.285676806,2.36870121,2.963527031,noise
47,47,202,2.337629719,0.772832843,5.856823155,good
48,48,204,3.95765303,3.878171739,6.029721194,good
49,49,206,1.798684336,0.686769186,4.975102174,good
50,50,208,4.286416581,0.380554091,11.59740427,good
51,51,209,2.0366707,0.394849829,7.573506641,good
52,52,207,1.798083848,1.360446098,2.169092025,good
53,53,210,2.93688523,0.750398019,10.677169,good
54,54,210,1.279569357,3.217751307,2.755596345,good
55,55,209,2.772684266,1.71583581,3.880469868,good
56,56,211,2.406946522,2.565844611,4.753925109,good
57,57,209,4.963557505,4.762177828,2.042889448,good
58,58,211,5.701929566,0.463159556,14.65168874,good
59,59,213,2.614412561,0.469294098,29.60763426,good
60,60,217,2.526820264,1.49220236,9.852290902,good
61,61,213,4.413947158,0.702314755,11.62307162,good
62,62,213,1.640836956,0.260224513,12.4358427,noise
63,63,213,2.606789197,0.369043763,8.24519026,good
64,64,215,3.182320295,4.853687892,2.827874755,good
65,65,215,4.289592287,0.304630395,44.54769281,good
66,66,216,5.814030079,0.798007943,15.87240423,good
67,67,217,3.891603042,2.891758799,5.712544302,good
68,68,214,3.259297925,2.170452071,6.028926348,good
69,69,217,3.376232136,1.064344606,8.839216931,good
70,70,221,1.373640946,2.120956567,4.949990322,good
71,71,220,5.525290485,7.097665229,3.27903801,good
72,72,220,6.654717324,1.236617525,10.45572419,good
73,73,221,3.44416289,4.692374846,3.37491641,good
74,74,221,4.992203483,0.161843625,100.2083428,good
75,75,221,3.581621299,4.070270958,3.393503407,good
76,76,221,2.152588175,2.335571339,3.703391304,good
77,77,221,1.959101652,6.705128707,2.402549874,good
78,78,221,4.904215878,0.480838298,27.86478,good
79,79,218,2.008118405,1.879473261,6.598410969,good
80,80,222,3.135304621,0.837368511,11.86690981,good
81,81,220,1.323668767,1.950435064,2.5754443,good
82,82,221,1.81684418,2.762299337,5.911750959,good
83,83,224,4.21864728,4.248429274,0.203668727,good
84,84,225,1.60584534,7.076444041,2.044102299,good
85,85,225,2.363875751,6.67174798,2.336425811,good
86,86,221,0.52667812,1.123312053,17.472449,noise
87,87,225,0.770994408,2.498318759,4.265049607,noise
88,88,226,1.820208837,2.40035246,2.944195085,good
89,89,226,3.391273198,19.51098556,0.681839466,good
90,90,226,1.950064398,7.275736546,0.772904073,good
91,91,226,1.44066619,0.653259323,8.345722364,good
92,92,229,1.559433228,8.590076736,1.215587497,good
93,93,229,2.627867018,6.076293089,0.775193008,good
94,94,219,1.054755637,1.652022107,9.819236188,noise
95,95,233,3.254178409,2.329220338,0.497748693,good
96,96,225,0.607379292,2.901506349,3.950089954,noise
97,97,236,2.01012856,8.733202074,0.170726469,good
98,98,234,2.150821313,13.78943256,0.088847961,good
99,99,238,2.53709463,14.64295487,0.192032429,good
100,100,250,4.323149003,4.087580316,0.780183732,good
101,101,251,3.523696983,4.120962215,1.074691549,good
102,102,253,4.70361497,12.78323146,0.265987443,good
103,103,253,3.31913413,0.585621465,2.45651328,good
104,104,254,2.068146916,3.889407217,0.593753405,good
105,105,254,3.648418775,1.514753014,0.171612711,good
106,106,257,1.970421667,1.450980327,0.652153752,good
107,107,257,3.214121121,3.459203405,0.171475353,good
108,108,261,2.968774637,28.22810586,0.501345036,good
109,109,258,2.803458968,1.242838802,0.591538728,good
110,110,261,1.596922054,1.593716265,3.3338305,good
111,111,261,5.73788013,35.70273589,0.486318872,good
112,112,262,4.136440852,2.334103874,0.099583922,good
113,113,258,1.907083125,10.47095941,0.496115066,good
114,114,261,1.743139987,1.516558898,7.025653521,good
115,115,265,6.702658586,0.025841469,174.8017491,good
116,116,266,3.706334311,5.908730745,0.847911795,good
117,117,270,2.64494528,1.937728002,1.006962541,good
118,118,269,2.530489916,6.402628467,3.641685647,good
119,119,269,4.5052947,48.85108171,0.390312777,good
120,120,270,3.181648096,3.808184085,0.9108704,good
121,121,270,2.764430356,15.89613438,0.259148526,good
122,122,271,3.465272208,0.449642459,5.596628381,good
123,123,271,3.031096311,39.5888905,0.442847288,good
124,124,273,4.467371794,16.79185878,0.315122341,good
125,125,273,2.699771083,9.080122575,0.432786476,good
126,126,274,3.247166281,20.40710034,0.429624312,good
127,127,274,2.749823844,12.69606458,0.333983703,good
128,128,277,3.057308587,13.44793483,0.369423914,good
129,129,277,3.422462336,15.75654377,0.364829115,good
130,130,278,5.812668464,11.38634354,0.00968969,good
131,131,278,4.846887091,5.255056229,0.029020023,good
132,132,278,1.927594798,11.92055028,0.267453025,noise
133,133,281,2.824651856,16.19164203,0.334114252,good
134,134,281,3.195860626,8.230892725,0.394224824,good
135,135,281,2.808872268,7.33628366,0.548530666,good
136,136,278,3.055270974,8.779948682,0.078254334,good
137,137,283,2.237653397,3.25283064,0.321097647,good
138,138,280,2.788943451,5.709989418,0.057953928,noise
139,139,284,3.436230975,3.828076406,0.331151897,good
140,140,285,4.468629831,3.30226547,0.46133486,good
141,141,285,3.082929803,7.924845011,0.518534036,good
142,142,282,2.065538353,8.437154719,0.362743844,good
143,143,282,2.932382521,10.41413317,0.090302947,good
144,144,286,3.309414958,0.979271466,0.094154985,good
145,145,286,2.375767162,3.099335193,0.559979802,good
146,146,286,3.138930071,2.557354166,0.48649905,good
147,147,286,4.380956847,1.325875615,0.690247418,good
148,148,287,3.025534147,2.296816523,0.313261536,good
149,149,288,4.800180682,1.898783966,0.348816555,good
150,150,289,2.982062239,2.321004016,0.450984378,good
151,151,291,2.54217123,7.038773889,0.469049528,good
152,152,291,2.64483313,11.75239769,0.54752698,good
153,153,292,4.215532412,6.335505679,0.556222044,good
154,154,292,3.255840377,0.276011167,2.672070876,good
155,155,293,3.618165161,2.009110782,0.511473443,good
156,156,293,2.950091002,0.802192573,1.302383881,good
157,157,293,4.516884258,0.038838393,5.063464757,good
158,158,292,3.230913036,0.551733483,1.235396561,good
159,159,294,2.780057978,1.546835754,1.468109182,good
160,160,293,2.698610508,1.104665277,2.006146889,good
161,161,295,1.314846451,2.435557778,0.821471608,noise
162,162,307,2.176739914,0.034568524,88.39126474,good
163,163,294,4.340152393,0.205876093,9.554206915,good
164,164,297,2.882034279,1.09239111,2.272069236,good
165,165,297,1.482537162,2.038618053,1.618664529,noise
166,166,298,7.67377357,0.247693844,5.17595134,good
167,167,298,1.699041691,1.702070128,2.50178275,good
168,168,299,5.831928303,0.351126735,7.418447569,good
169,169,299,4.151815119,0.149376253,5.855251766,good
170,170,298,3.077318861,2.925875673,1.410303421,good
171,171,301,5.988050975,2.032532565,3.790019117,good
172,172,301,3.000074126,1.848825411,1.816262221,good
173,173,301,3.357296375,0.524001857,4.551302757,good
174,174,302,1.703217665,1.301685435,1.542948201,good
175,175,300,4.042142056,0.413279208,1.988365584,good
176,176,305,2.928318728,4.505849673,0.914761456,good
177,177,305,2.814965605,3.08139451,2.416935555,good
178,178,305,2.877634025,0.714384195,3.582169343,good
179,179,306,2.504260664,1.265405227,2.59068597,good
180,180,308,2.719305674,1.098892683,1.937520998,good
181,181,308,6.253145721,0.409790677,2.325297228,good
182,182,309,7.717358244,0.996084924,5.49121197,good
183,183,309,2.557695024,0.519846855,1.082500486,good
184,184,307,6.314877245,0.028793384,74.68860308,good
185,185,364,1.802801165,2.895498702,5.589668299,noise
186,186,364,0.266956752,7.965878472,2.26655978,noise
187,187,340,0.410213717,4.650766688,3.366468559,noise
188,188,101,3.178536144,0.042843721,0,good
189,189,150,1.92998513,0.78433634,5.428247237,good
190,190,207,2.376263263,0.020923743,49.5260066,good
191,191,211,3.106768345,0.029620607,182.0407263,good
192,192,212,4.562337377,0.122600756,48.66333842,good
193,193,221,2.990930679,0.983912453,13.43755242,good
194,194,267,3.694195717,0.071278804,93.23807132,good
195,195,293,3.745192147,0.43411953,8.399423192,good
196,196,307,9.547547079,0.189420958,34.47784003,good
197,197,296,4.874292132,0.056586032,15.92090606,good
198,198,302,3.779414577,0.014224796,0,good
199,199,308,4.207099167,0.080218709,10.19012529,good
200,200,308,6.070768424,0.049730229,34.9333222,good
201,201,309,3.609964261,0.289862298,3.569469732,good
202,202,307,8.109834059,0.041604821,70.10405451,good
